ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
NDA-FI.HE,NDA-FI.HE,Nordea,Europe,Financial Services,17.605,EUR,59811038820.155,-3164000000.0,0.015,0.029,-3164000000.0,4717000192,610000000.0,-18.903615303462388,OCF,Flat ➡,Flat ➡,-18.9x,59.811038820155,-18.903615303462388
PRX.AS,PRX.AS,Prosus,Europe,Consumer Cyclical,35.92,EUR,75215310480.72,1609000000.0,0.0,0.0,1609000000.0,11649000448,157000000.0,46.74661931679304,OCF,Flat ➡,Flat ➡,46.7x,75.21531048072,46.74661931679304
RHM.DE,RHM.DE,Rheinmetall,Europe,Industrials,996.7,EUR,46514058392.1,2287000000.0,0.688,-0.057,2287000000.0,1210000000,,20.33846016270223,OCF,Uptrend ↗,Downtrend ↘,20.3x,46.5140583921,20.33846016270223
SAF.PA,SAF.PA,Safran,Europe,Industrials,321.6,EUR,133263492369.6,5721000000.0,0.16,-0.651,5721000000.0,3881999872,775000000.0,23.293741018982697,OCF,Uptrend ↗,Downtrend ↘,23.3x,133.26349236960002,23.293741018982697
SGO.PA,SGO.PA,Saint-Gobain,Europe,Industrials,69.58,EUR,34029749785.5,5638000000.0,-0.011,-0.12,5638000000.0,2671000064,2627000000.0,6.035783927899964,OCF,Flat ➡,Downtrend ↘,6.0x,34.0297497855,6.035783927899964
SAN.PA,SAN.PA,Sanofi,Europe,Healthcare,75.43,EUR,90370320909.55,10750000000.0,0.146,-0.912,10750000000.0,3939000064,5678000000.0,8.40654147995814,OCF,Uptrend ↗,Downtrend ↘,8.4x,90.37032090955,8.40654147995814
SAP.DE,SAP.DE,SAP,Europe,Technology,186.26,EUR,214982080252.31998,9156000000.0,0.094,0.306,9156000000.0,7795999744,1311000000.0,23.479912653158582,OCF,Uptrend ↗,Uptrend ↗,23.5x,214.98208025231997,23.479912653158582
SU.PA,SU.PA,Schneider Electric,Europe,Industrials,272.05,EUR,153260829496.7,6131000000.0,0.098,0.293,6131000000.0,4737999872,871000000.0,24.99768871255913,OCF,Uptrend ↗,Uptrend ↗,25.0x,153.2608294967,24.99768871255913
SIE.DE,SIE.DE,Siemens,Europe,Industrials,261.8,EUR,204273167036.4,13257000000.0,0.073,0.128,13257000000.0,7870000128,,15.40870234867617,OCF,Uptrend ↗,Uptrend ↗,15.4x,204.2731670364,15.40870234867617
ENR.DE,ENR.DE,Siemens Energy,Europe,Industrials,132.66,EUR,112873570898.22,5821000000.0,0.175,0.8,5821000000.0,2692000000,491000000.0,19.390752602339806,OCF,Uptrend ↗,Uptrend ↗,19.4x,112.87357089822,19.390752602339806
TTE.PA,TTE.PA,TotalEnergies,Europe,Energy,79.53,EUR,175748730840.21,27343000000.0,0.278,1.06,27343000000.0,17837000704,13847000000.0,6.427558455188165,OCF,Uptrend ↗,Uptrend ↗,6.4x,175.74873084021,6.427558455188165
DG.PA,DG.PA,Vinci SA,Europe,Industrials,110.7,EUR,61207275042.9,11886000000.0,0.023,0.108,11886000000.0,5085000192,2354000000.0,5.1495267577738515,OCF,Flat ➡,Uptrend ↗,5.1x,61.2072750429,5.1495267577738515
UCG.MI,UCG.MI,UniCredit,Europe,Financial Services,84.47,EUR,134690710174.7,8525000000.0,-0.092,-0.105,8525000000.0,10728999936,1280000000.0,15.799496794686217,OCF,Downtrend ↘,Downtrend ↘,15.8x,134.6907101747,15.799496794686217
VOW.DE,VOW.DE,Volkswagen Group,Europe,Consumer Cyclical,81.2,EUR,40705175355.6,15009000000.0,0.02,-0.41,15009000000.0,5241999872,29069000000.0,2.7120511263641816,OCF,Flat ➡,Downtrend ↘,2.7x,40.7051753556,2.7120511263641816
WKL.AS,WKL.AS,Wolters Kluwer,Europe,Industrials,70.72,EUR,15741378311.36,1668000000.0,-0.006,0.089,1668000000.0,1335000064,79000000.0,9.437277165083934,OCF,Flat ➡,Uptrend ↗,9.4x,15.74137831136,9.437277165083934
