ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
COF,COF,Capital One,USA,Financial Services,227.33999633789062,USD,139473087753.2959,27718000000.0,11.11,0.0,27718000000.0,9822999552,5260000000.0,5.031859721238758,OCF,Uptrend ↗,Flat ➡,5.0x,139.47308775329589,5.031859721238758
CAH,CAH,Cardinal Health,USA,Healthcare,235.1699981689453,USD,54694833527.90112,2397000000.0,0.058,0.688,2397000000.0,1714000000,790000000.0,22.818036515603307,OCF,Uptrend ↗,Uptrend ↗,22.8x,54.694833527901125,22.818036515603307
CCL,CCL,Carnival Corporation,USA,Consumer Cyclical,28.1200008392334,USD,38514534375.73528,6218000000.0,0.053,-0.065,6218000000.0,3068999936,2790000000.0,6.194038979693677,OCF,Uptrend ↗,Downtrend ↘,6.2x,38.51453437573528,6.194038979693677
CARR,CARR,Carrier Global,USA,Industrials,62.779998779296875,USD,52143837942.04788,2513000000.0,0.039,-0.118,2513000000.0,1174000000,,20.749637064085906,OCF,Flat ➡,Downtrend ↘,20.7x,52.14383794204788,20.749637064085906
CVNA,CVNA,Carvana,USA,Consumer Cyclical,75.58999633789062,USD,83113090723.41919,1036000000.0,0.524,0.615,1036000000.0,1568000000,275000000.0,80.22499104577142,OCF,Uptrend ↗,Uptrend ↗,80.2x,83.11309072341919,80.22499104577142
CASY,CASY,Casey's,USA,Consumer Cyclical,846.4500122070312,USD,31322809907.02014,1377540000.0,0.145,0.66,1377540000.0,714448000,449958000.0,22.73822169012888,OCF,Uptrend ↗,Uptrend ↗,22.7x,31.32280990702014,22.73822169012888
CAT,CAT,Caterpillar Inc.,USA,Industrials,856.5700073242188,USD,393743723037.48944,11739000000.0,0.24,0.682,11739000000.0,10844000256,2262000000.0,33.541504645837755,OCF,Uptrend ↗,Uptrend ↗,33.5x,393.7437230374894,33.541504645837755
CBOE,CBOE,Cboe Global Markets,USA,Financial Services,296.1400146484375,USD,30926203496.411255,1752600000.0,0.229,0.502,1752600000.0,1347399936,,17.645899518664415,OCF,Uptrend ↗,Uptrend ↗,17.6x,30.926203496411254,17.645899518664415
CBRE,CBRE,CBRE Group,USA,Real Estate,152.86000061035156,USD,44264480229.022736,1559000000.0,0.155,-0.042,1559000000.0,1300999936,729000000.0,21.805163361848862,OCF,Uptrend ↗,Flat ➡,21.8x,44.26448022902274,21.805163361848862
CDW,CDW,CDW Corporation,USA,Technology,139.4199981689453,USD,17429929304.006256,1205200000.0,0.1,0.049,1205200000.0,1080300032,48000000.0,14.462271244611895,OCF,Uptrend ↗,Flat ➡,14.5x,17.429929304006254,14.462271244611895
COR,COR,Cencora,USA,Healthcare,313.82000732421875,USD,59885382317.9599,3875120000.0,0.051,0.119,3875120000.0,2624793088,501310000.0,15.45381364137366,OCF,Uptrend ↗,Uptrend ↗,15.5x,59.8853823179599,15.45381364137366
