ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
8031.T,8031.T,Mitsui & Co,Japan,Industrials,4975.0,JPY,14100086429325.0,952912000000.0,-0.011,-0.093,952912000000.0,833971027968,333248000000.0,14.796840032788968,OCF,Flat ➡,Downtrend ↘,14.8x,14100.086429325,14.796840032788968
8801.T,8801.T,Mitsui Fudosan,Japan,Real Estate,1588.0,JPY,4273761934564.0,599252000000.0,-0.233,-0.43,599252000000.0,278684008448,140516000000.0,10.195042577376622,OCF,Downtrend ↘,Downtrend ↘,10.2x,4273.761934564,10.195042577376622
8802.T,8802.T,Mitsubishi Estate,Japan,Real Estate,4098.0,JPY,4930422420708.0,508917000000.0,0.008,-0.187,508917000000.0,222507008000,108029000000.0,14.916445716582865,OCF,Flat ➡,Downtrend ↘,14.9x,4930.422420708,14.916445716582865
3382.T,3382.T,7&i,Japan,Consumer Defensive,2134.5,JPY,4934414944699.5,666736000000.0,-0.147,0.382,666736000000.0,304346005504,382009000000.0,7.4008527283655,OCF,Downtrend ↘,Uptrend ↗,7.4x,4934.4149446995,7.4008527283655
7974.T,7974.T,Nintendo,Japan,Communication Services,7431.0,JPY,8566670106855.0,289789000000.0,0.951,0.571,289789000000.0,424055996416,15854000000.0,29.56175046966931,OCF,Uptrend ↗,Uptrend ↗,29.6x,8566.670106855,29.56175046966931
4578.T,4578.T,Otsuka,Japan,Healthcare,11325.0,JPY,5950080515475.0,403579000000.0,0.082,0.175,403579000000.0,376501010432,116167000000.0,14.743285739533029,OCF,Uptrend ↗,Uptrend ↗,14.7x,5950.080515475,14.743285739533029
4523.T,4523.T,Eisai,Japan,Healthcare,4753.0,JPY,1341467741271.0,61323000000.0,0.091,0.0,61323000000.0,38557999104,39550000000.0,21.87544218761313,OCF,Uptrend ↗,Flat ➡,21.9x,1341.467741271,21.87544218761313
6869.T,6869.T,Sysmex,Japan,Healthcare,1606.0,JPY,971947845066.0,73848000000.0,-0.021,-0.84,73848000000.0,35456999424,46437000000.0,13.161464698651283,OCF,Flat ➡,Downtrend ↘,13.2x,971.947845066,13.161464698651283
9101.T,9101.T,NYK,Japan,Industrials,6076.0,JPY,2452007118792.0,473358000000.0,-0.0,-0.161,473358000000.0,211749994496,175182000000.0,5.180026784784455,OCF,Flat ➡,Downtrend ↘,5.2x,2452.007118792,5.180026784784455
9104.T,9104.T,MOL,Japan,Industrials,5912.0,JPY,2031457768352.0,450963000000.0,0.05,-0.417,450963000000.0,213259993088,168246000000.0,4.504710515833893,OCF,Flat ➡,Downtrend ↘,4.5x,2031.457768352,4.504710515833893
